"Your query : ((ALL(""Earth science"")))",
Number of results : 743927,
Year,Papers
2022,3
2021,14848
2020,77288
2019,67232
2018,59946
2017,52279
2016,48498
2015,43888
2014,38597
2013,35907
2012,30093
2011,27928
2010,23449
2009,21024
2008,19254
2007,17459
2006,16184
2005,14737
2004,12757
2003,11374
2002,10100
2001,9525
2000,9044
1999,8395
1998,7482
1997,6927
1996,7339
1995,4111
1994,4296
1993,3825
1992,3664
1991,3306
1990,3469
1989,3278
1988,3015
1987,2652
1986,2515
1985,2032
1984,2227
1983,2102
1982,1730
1981,1500
1980,1428
1979,1101
1978,892
1977,890
1976,720
1975,804
1974,577
1973,493
1972,402
1971,384
1970,355
1969,90
1968,156
1967,76
1966,73
1965,29
1964,35
1963,24
1962,20
1961,13
1960,9
1959,11
1958,5
1957,4
1956,6
1955,6
1954,5
1953,3
1952,3
1951,1
1950,3
1949,1
1947,2
1941,1
1940,5
1938,1
1937,2
1936,1
1935,2
1934,1
1933,1
1932,2
1931,4
1926,2
1925,1
1920,1
1916,1
1902,1
1901,1
