"Your query : (ALL(""astrophysics"" OR ""astronomy""))",
Number of results : 949226,
Year,Papers
2021,35751
2020,51858
2019,50489
2018,50901
2017,47942
2016,46160
2015,44554
2014,43199
2013,40259
2012,41568
2011,37632
2010,35457
2009,33708
2008,32000
2007,29292
2006,30360
2005,27089
2004,21495
2003,20211
2002,21150
2001,18473
2000,17548
1999,15425
1998,15953
1997,14591
1996,12818
1995,9203
1994,9165
1993,7967
1992,7210
1991,6996
1990,6645
1989,4799
1988,4624
1987,4069
1986,4403
1985,3853
1984,3954
1983,3368
1982,3211
1981,2976
1980,2783
1979,2746
1978,2501
1977,2538
1976,2364
1975,2409
1974,2172
1973,1944
1972,1890
1971,1744
1970,1731
1969,1152
1968,928
1967,625
1966,546
1965,441
1964,343
1963,250
1962,185
1961,135
1960,132
1959,74
1958,84
1957,50
1956,152
1955,122
1954,31
1953,36
1952,42
1951,43
1950,43
1949,18
1948,26
1947,21
1946,16
1945,6
1944,11
1943,7
1942,8
1941,12
1940,7
1939,12
1938,16
1937,7
1936,9
1935,13
1934,10
1933,7
1932,5
1931,6
1930,3
1929,10
1928,5
1927,4
1926,9
1925,6
1924,1
1923,9
1922,4
1921,6
1920,6
1919,7
1918,2
1917,4
1916,1
1915,9
1914,4
1913,2
1912,6
1911,10
1910,6
1909,8
1908,10
1907,3
1906,4
1905,6
1904,2
1903,10
1902,9
1901,7
1900,9
1899,11
1898,6
1897,10
1896,5
1895,8
1894,7
1893,16
1892,13
1891,8
1890,4
1889,6
1888,1
1887,4
1886,10
1885,2
1884,2
1883,3
1882,2
1881,12
1880,8
1877,2
1875,4
1874,1
1873,1
1872,1
1871,1
1870,1
1869,2
1867,3
1862,7
1857,1
1853,1
1848,1
1837,1
1834,1
1826,1
1790,1
